자치구,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율
종로구,5,6,5,7,239,1138,1169,953,1563,1381,1.2,1.4,4.7615062761506275,0.8152266894781864,0.8835572616762636
중구,3,3,6,5,212,144,1520,864,1607,1449,1.0,0.8333333333333334,0.6792452830188679,0.5684210526315789,0.9016801493466086
용산구,3,4,3,3,245,219,978,561,1792,1481,1.3333333333333333,1.0,0.8938775510204081,0.5736196319018405,0.8264508928571429
성동구,2,1,2,2,119,85,893,472,1007,851,0.5,1.0,0.7142857142857143,0.528555431131019,0.8450844091360477
광진구,2,2,5,3,238,178,1616,830,1563,1320,1.0,0.6,0.7478991596638656,0.5136138613861386,0.8445297504798465
동대문구,5,6,4,3,146,116,1280,847,1522,1329,1.2,0.75,0.7945205479452054,0.66171875,0.8731931668856767
중랑구,6,6,2,2,169,134,1402,786,1745,1546,1.0,1.0,0.7928994082840237,0.5606276747503567,0.8859598853868195
성북구,1,1,1,1,141,112,984,683,1284,1161,1.0,1.0,0.7943262411347518,0.6941056910569106,0.9042056074766355
강북구,7,7,1,1,141,102,917,730,1431,1302,1.0,1.0,0.723404255319149,0.7960741548527808,0.909853249475891
도봉구,7,6,4,3,90,72,995,582,825,743,0.8571428571428571,0.75,0.8,0.5849246231155779,0.9006060606060606
노원구,7,6,3,4,159,131,1632,845,1766,1621,0.8571428571428571,1.3333333333333333,0.8238993710691824,0.5177696078431373,0.9178935447338619
은평구,7,7,3,1,153,126,1614,1070,1716,1474,1.0,0.3333333333333333,0.8235294117647058,0.6629491945477075,0.8589743589743589
서대문구,5,5,0,2,160,132,1194,668,1026,834,1.0,inf,0.825,0.559463986599665,0.8128654970760234
마포구,3,1,4,4,447,339,1472,856,1908,1688,0.3333333333333333,1.0,0.7583892617449665,0.5815217391304348,0.8846960167714885
양천구,6,5,2,2,113,93,1404,732,1494,1303,0.8333333333333334,1.0,0.8230088495575221,0.5213675213675214,0.8721552878179384
강서구,1,2,6,4,300,225,1794,1243,2195,2070,2.0,0.6666666666666666,0.75,0.6928651059085842,0.9430523917995444
구로구,12,12,7,7,194,144,1624,849,1900,1620,1.0,1.0,0.7422680412371134,0.5227832512315271,0.8526315789473684
금천구,4,3,5,4,128,95,987,629,1116,1022,0.75,0.8,0.7421875,0.6372847011144883,0.9157706093189965
영등포구,12,12,10,10,310,217,1854,1192,2232,1956,1.0,1.0,0.7,0.6429341963322546,0.8763440860215054
동작구,3,2,3,4,191,107,1183,601,1262,1049,0.6666666666666666,1.3333333333333333,0.5602094240837696,0.5080304311073541,0.8312202852614897
관악구,16,17,10,10,328,268,2013,1166,2402,2035,1.0625,1.0,0.8170731707317073,0.5792349726775956,0.847210657785179
서초구,7,8,9,5,412,300,1941,934,2153,1802,1.1428571428571428,0.5555555555555556,0.7281553398058253,0.48119526017516745,0.8369716674407803
강남구,14,11,20,18,678,567,2480,1284,3571,3112,0.7857142857142857,0.9,0.8362831858407079,0.5177419354838709,0.8714645757490899
송파구,8,5,9,8,307,229,2416,1243,2483,2035,0.625,0.8888888888888888,0.745928338762215,0.5144867549668874,0.819573097060008
강동구,4,6,5,4,144,122,1676,980,1569,1383,1.5,0.8,0.8472222222222222,0.5847255369928401,0.8814531548757171
