자치구,2014-인구수,2014-한국인,2014-외국인,2014-고령자,2015-인구수,2015-한국인,2015-외국인,2015-고령자,2016-인구수,2016-한국인,2016-외국인,2016-고령자,2017-인구수,2017-한국인,2017-외국인,2017-고령자,2018-인구수,2018-한국인,2018-외국인,2018-고령자,2019-인구수,2019-한국인,2019-외국인,2019-고령자,2020-인구수,2020-한국인,2020-외국인,2020-고령자,2021-인구수,2021-한국인,2021-외국인,2021-고령자,2022-인구수,2022-한국인,2022-외국인,2022-고령자,2023-인구수,2023-한국인,2023-외국인,2023-고령자,2024-인구수,2024-한국인,2024-외국인,2024-고령자
종로구,165344,156993,8351,24537,163822,154986,8836,24892,161922,152737,9185,25091,164257,154770,9487,26182,163026,153065,9961,26742,161869,151290,10579,27519,158996,149384,9612,28507,153789,144683,9106,27818,152211,141379,10832,27958,150453,139417,11036,28764,149608,138336,11272,29840
중구,136227,128065,8162,19960,134329,125733,8596,20302,134409,125249,9160,20606,134593,125709,8884,21384,135633,125725,9908,22005,136488,126171,10317,23275,134635,125240,9395,24495,131787,122499,9288,24392,130785,120437,10348,25055,131793,121312,10481,25920,131214,120544,10670,26853
용산구,249914,235951,13963,34896,247909,233342,14567,35715,245102,230241,14861,35915,244444,229161,15283,36882,245090,228999,16091,37640,245185,228670,16515,38791,244645,230040,14605,40247,237285,222953,14332,39070,233284,218650,14634,39037,227106,213151,13955,39747,217194,203854,13340,39407
성동구,303891,296086,7805,36684,305065,297003,8062,38164,307161,299259,7902,39262,312711,304808,7903,41273,316463,308221,8242,42767,308979,300889,8090,43947,300505,293556,6949,45603,292672,285990,6682,46380,288234,281000,7234,47720,284766,277361,7405,49462,281289,273669,7620,51245
광진구,377375,363354,14021,38974,375180,360369,14811,40368,372104,357215,14889,41441,372298,357703,14595,43953,371063,355559,15504,45619,366972,351350,15622,47902,360109,346682,13427,50560,352627,339996,12631,51723,351252,337416,13836,54071,351180,335554,15626,56819,348652,331963,16689,59743
동대문구,376319,363687,12632,50915,373824,360153,13671,52490,370312,355069,15243,53460,366011,350647,15364,55718,364338,348052,16286,57165,363023,346194,16829,59350,357014,342837,14177,61796,352006,337400,14606,62211,353601,336644,16957,64468,359873,341149,18724,67030,358603,338735,19868,69582
중랑구,423411,418836,4575,51995,418620,413909,4711,54095,415677,411005,4672,55914,412780,408226,4554,59262,408147,403209,4938,61830,402024,397015,5009,65164,399562,394702,4860,69447,391885,387350,4535,71682,390140,385318,4822,74920,387470,382155,5315,78955,385349,379274,6075,83492
성북구,475961,466706,9255,62066,469560,459275,10285,63281,461617,450355,11262,64015,455407,444055,11352,66251,447687,435868,11819,67782,454744,442650,12094,70850,447056,437153,9903,73770,440142,430528,9614,74709,441984,430397,11587,77475,438168,425602,12566,80414,435037,421560,13477,83568
강북구,338410,335025,3385,50841,334426,330873,3553,52598,330704,327195,3509,54053,328002,324479,3523,56530,322915,319164,3751,58196,317695,313954,3741,60577,311569,308055,3514,63422,302563,299182,3381,64333,297702,293660,4042,66307,292977,288113,4864,68617,289374,283597,5777,71411
도봉구,355712,353709,2003,46471,353241,351242,1999,48590,350272,348220,2052,50510,346234,344166,2068,53488,341649,339413,2236,55964,335631,333362,2269,58714,327361,325257,2104,62059,319373,317366,2007,64160,313989,311694,2295,66998,309494,306948,2546,70436,306032,303228,2804,74223
노원구,586056,582552,3504,66480,578221,574583,3638,68909,571212,567581,3631,70887,558075,554403,3672,74243,548160,543752,4408,77096,537303,532905,4398,80923,527032,523037,3995,85489,514946,510956,3990,88345,508014,503734,4280,92040,502925,498213,4712,96422,496552,491247,5305,100579
은평구,503243,498644,4599,67002,502578,497920,4658,69753,495937,491476,4461,71457,491202,486794,4408,74559,487666,483197,4469,77420,484546,480032,4514,80738,484043,479835,4208,85187,477173,473307,3866,87241,470602,466746,3856,89650,470869,466770,4099,93817,465350,460919,4431,98063
서대문구,320861,310376,10485,45309,323105,312141,10964,46758,325871,314194,11677,47653,325028,312800,12228,49266,323080,310313,12767,50456,323171,309397,13774,52074,322952,312173,10779,54204,315659,304819,10840,54268,319554,306337,13217,55996,320629,306231,14398,58113,318622,302853,15769,60229
마포구,395830,385439,10391,47360,398351,387643,10708,48598,390887,379892,10995,48303,385783,374915,10868,49615,386359,375077,11282,50833,385925,374035,11890,52429,381858,371890,9968,54331,378686,368905,9781,54582,375585,364638,10947,55914,375162,363697,11465,57895,372745,361417,11328,60009
양천구,490708,486221,4487,48175,489010,484532,4478,50398,481845,477739,4106,52063,475018,471154,3864,55234,468145,464185,3960,58045,462285,458165,4120,61264,457781,454251,3530,65670,450487,447302,3185,68627,444010,440881,3129,72393,439252,436028,3224,76317,434351,430976,3375,80390
강서구,591653,585160,6493,64287,595691,589074,6617,67950,602104,595485,6619,71062,608255,601691,6564,76032,603611,596949,6662,79660,598273,591796,6477,84077,585901,580185,5716,88984,579768,574315,5453,92558,574638,569166,5472,97128,568826,563058,5768,102096,562194,556171,6023,107553
구로구,457131,425831,31300,51187,454604,422092,32512,53719,449600,417551,32049,55705,441559,410742,30817,58794,438486,404497,33989,61801,439371,406664,32707,65779,432488,404408,28080,70198,421163,396754,24409,72611,418418,395315,23103,75890,415651,392405,23246,79984,411916,388169,23747,83873
