자치구,2024-인구수,2024-한국인,2024-외국인,2024-고령자,외국인비율,고령자비율
종로구,149608,138336,11272,29840,0.07534356451526657,0.19945457462167798
중구,131214,120544,10670,26853,0.08131754233542153,0.20465041840047557
용산구,217194,203854,13340,39407,0.0614197445601628,0.1814368721051226
성동구,281289,273669,7620,51245,0.027089576912001537,0.18217918226450378
광진구,348652,331963,16689,59743,0.047867214299645494,0.17135424434679852
동대문구,358603,338735,19868,69582,0.0554038867494137,0.1940363019829728
중랑구,385349,379274,6075,83492,0.01576492997257032,0.21666593140244297
성북구,435037,421560,13477,83568,0.030978974202194295,0.19209400579720806
강북구,289374,283597,5777,71411,0.01996378389212576,0.24677752666099925
도봉구,306032,303228,2804,74223,0.009162440529094996,0.24253346055314476
노원구,496552,491247,5305,100579,0.010683674620180767,0.20255481802510109
은평구,465350,460919,4431,98063,0.00952186526270549,0.21072955839690555
서대문구,318622,302853,15769,60229,0.049491246681020146,0.18902963386081312
마포구,372745,361417,11328,60009,0.030390749708245582,0.16099209915625964
양천구,434351,430976,3375,80390,0.007770213490932449,0.18508072964031394
강서구,562194,556171,6023,107553,0.010713383636253678,0.19130940565000693
구로구,411916,388169,23747,83873,0.05765010341914371,0.20361675681449615
금천구,239070,225159,13911,47951,0.05818797841636341,0.20057305391726274
영등포구,397173,373773,23400,70455,0.05891639159761615,0.1773912123935917
동작구,387352,375799,11553,73201,0.029825584997624898,0.18897798384931536
관악구,495620,477812,17808,88885,0.03593075339978209,0.17934102740002422
서초구,413076,408376,4700,68735,0.011378051496576901,0.1663979509823858
강남구,563215,557345,5870,91470,0.010422307644505207,0.16240689612315012
송파구,656310,650110,6200,114243,0.009446755344273286,0.17406865657996984
강동구,481474,476942,4532,89895,0.009412761644450167,0.186707901153541
