회사명,종목코드
DSR제강,69730.KS
GS글로벌,1250.KS
HDC랩스,39570.KS
HDC현대산업개발,294870.KS
HD현대,267250.KS
HL만도,204320.KS
LS네트웍스,680.KS
NAVER,35420.KS
NICE평가정보,30190.KS
SG세계물산,4060.KS
SK바이오사이언스,302440.KS
SK이터닉스,475150.KS
경농,2100.KS
금호석유화학,11780.KS
금호에이치티,214330.KS
기업은행,24110.KS
넥센,5720.KS
대덕전자,353200.KS
대원전선,6340.KS
대한항공,3490.KS
대현,16090.KS
덴티움,145720.KS
동성제약,2210.KS
동아에스티,170900.KS
동양,1520.KS
동원금속,18500.KS
동화약품,20.KS
디와이,13570.KS
롯데에너지머티리얼즈,20150.KS
롯데케미칼,11170.KS
명신산업,9900.KS
모나리자,12690.KS
무림페이퍼,9200.KS
미래에셋글로벌리츠,396690.KS
미래에셋맵스리츠,357250.KS
미래에셋생명,85620.KS
미원홀딩스,107590.KS
부산산업,11390.KS
산일전기,62040.KS
삼성제약,1360.KS
삼정펄프,9770.KS
선도전기,7610.KS
선진,136490.KS
세원정공,21820.KS
신성통상,5390.KS
신한알파리츠,293940.KS
신한지주,55550.KS
쏘카,403550.KS
아시아나항공,20560.KS
아이에이치큐,3560.KS
에넥스,11090.KS
엔씨소프트,36570.KS
엔피씨,4250.KS
우진,105840.KS
원림,5820.KS
윌비스,8600.KS
유니켐,11330.KS
이건산업,8250.KS
이구산업,25820.KS
이리츠코크렙,88260.KS
인스코비,6490.KS
인지컨트롤스,23800.KS
일동홀딩스,230.KS
일신방직,3200.KS
일신석재,7110.KS
제이준코스메틱,25620.KS
종근당바이오,63160.KS
주성코퍼레이션,109070.KS
참엔지니어링,9310.KS
코람코더원리츠,417310.KS
코람코라이프인프라리츠,357120.KS
코스모화학,5420.KS
코오롱ENP,138490.KS
코오롱글로벌,3070.KS
콤텍시스템,31820.KS
쿠쿠홈시스,284740.KS
크라운제과,264900.KS
키다리스튜디오,20120.KS
키움증권,39490.KS
티비에이치글로벌,84870.KS
퍼시스,16800.KS
풍산홀딩스,5810.KS
한국금융지주,71050.KS
한국석유공업,4090.KS
한국주철관공업,970.KS
한국카본,17960.KS
한국특강,7280.KS
한일홀딩스,3300.KS
한진칼,180640.KS
한창,5110.KS
한화시스템,272210.KS
현대비앤지스틸,4560.KS
현대차증권,1500.KS
현대해상,1450.KS
혜인,3010.KS
효성 ITX,94280.KS
효성중공업,298040.KS
효성화학,298000.KS
BNK금융지주,138930.KS
CJ제일제당,97950.KS
DRB동일,4840.KS
GS건설,6360.KS
HDC현대EP,89470.KS
HD한국조선해양,9540.KS
HD현대건설기계,267270.KS
HD현대마린엔진,71970.KS
HD현대인프라코어,42670.KS
HJ중공업,97230.KS
HLB글로벌,3580.KS
HS효성,487570.KS
JB금융지주,175330.KS
PI첨단소재,178920.KS
SK리츠,395400.KS
SNT에너지,100840.KS
SUN&L,2820.KS
강원랜드,35250.KS
경동인베스트,12320.KS
경방,50.KS
경보제약,214390.KS
고려제강,2240.KS
광명전기,17040.KS
교보증권,30610.KS
금강공업,14280.KS
금호건설,2990.KS
남선알미늄,8350.KS
노루페인트,90350.KS
노루홀딩스,320.KS
다스코,58730.KS
다올투자증권,30210.KS
다우기술,23590.KS
대동전자,8110.KS
대웅,3090.KS
대웅제약,69620.KS
대원강업,430.KS
대창단조,15230.KS
덕양산업,24900.KS
동국씨엠,460850.KS
동국홀딩스,1230.KS
동부건설,5960.KS
동아쏘시오홀딩스,640.KS
동원시스템즈,14820.KS
동일고무벨트,163560.KS
두산퓨얼셀,336260.KS
디와이파워,210540.KS
롯데관광개발,32350.KS
롯데쇼핑,23530.KS
롯데지주,4990.KS
만호제강,1080.KS
맵스리얼티1,94800.KS
미래에셋증권,6800.KS
백광산업,1340.KS
부국철강,26940.KS
사조동아원,8040.KS
삼부토건,1470.KS
삼성공조,6660.KS
삼성중공업,10140.KS
삼양홀딩스,70.KS
삼호개발,10960.KS
삼화왕관,4450.KS
세방전지,4490.KS
세아베스틸지주,1430.KS
세아제강,306200.KS
세아특수강,19440.KS
셀트리온,68270.KS
신라교역,4970.KS
신성이엔지,11930.KS
신세계I&C,35510.KS
아주스틸,139990.KS
알루코,1780.KS
에스케이바이오팜,326030.KS
엔케이,85310.KS
엘브이엠씨,900140.KS
엘에스일렉트릭,10120.KS
영원무역,111770.KS
영화금속,12280.KS
유엔젤,72130.KS
이수스페셜티케미컬,457190.KS
이수페타시스,7660.KS
이월드,84680.KS
이지스밸류플러스리츠,334890.KS
인팩,23810.KS
일진홀딩스,15860.KS
자이에스앤디,317400.KS
전진건설로봇,79900.KS
제일파마홀딩스,2620.KS
조비,1550.KS
지누스,13890.KS
지엠비코리아,13870.KS
카카오페이,377300.KS
코리아써키트,7810.KS
코오롱,2020.KS
태경산업,15890.KS
티웨이홀딩스,4870.KS
파미셀,5690.KS
포스코스틸리온,58430.KS
하나투어,39130.KS
한국내화,10040.KS
한국단자공업,25540.KS
한국종합기술,23350.KS
한세예스24홀딩스,16450.KS
한일현대시멘트,6390.KS
한진중공업홀딩스,3480.KS
한컴라이프케어,372910.KS
해태제과식품,101530.KS
현대약품,4310.KS
현대코퍼레이션,11760.KS
형지엘리트,93240.KS
호전실업,111110.KS
호텔신라,8770.KS
효성티앤씨,298020.KS
BYC,1460.KS
CJ CGV,79160.KS
DH오토넥스,300.KS
GKL,114090.KS
GS피앤엘,499790.KS
HS화성,2460.KS
KC그린홀딩스,9440.KS
KC코트렐,119650.KS
KSS해운,44450.KS
KTis,58860.KS
LF,93050.KS
LG유플러스,32640.KS
LS,6260.KS
LS에코에너지,229640.KS
LX하우시스,108670.KS
MH에탄올,23150.KS
NH올원리츠,400760.KS
NI스틸,8260.KS
SIMPAC,9160.KS
SK가스,18670.KS
SK디스커버리,6120.KS
SNT다이내믹스,3570.KS
경동나비엔,9450.KS
경인양행,12610.KS
남성,4270.KS
남양유업,3920.KS
넷마블,251270.KS
녹십자홀딩스,5250.KS
대교,19680.KS
대상,1680.KS
대신증권,3540.KS
대원제약,3220.KS
대한전선,1440.KS
동양생명,82640.KS
동양철관,8970.KS
동원산업,6040.KS
디앤디플랫폼리츠,377190.KS
롯데이노베이트,286940.KS
맥쿼리인프라,88980.KS
메타케어,118000.KS
무림P&P,9580.KS
무학,33920.KS
미래아이앤지,7120.KS
미창석유공업,3650.KS
비상교육,100220.KS
삼성에스디에스,18260.KS
삼성출판사,68290.KS
삼성화재해상보험,810.KS
삼양패키징,272550.KS
삼영,3720.KS
삼익악기,2450.KS
삼진제약,5500.KS
삼화전자공업,11230.KS
서원,21050.KS
성문전자,14910.KS
세원이앤씨,91090.KS
수산중공업,17550.KS
스틱인베스트먼트,26890.KS
신도리코,29530.KS
신영증권,1720.KS
아모레퍼시픽그룹,2790.KS
아시아나IDT,267850.KS
애경케미칼,161000.KS
에스제이엠홀딩스,25530.KS
에이프로젠바이오로직스,3060.KS
에이피알,278470.KS
오리온홀딩스,1800.KS
유진증권,1200.KS
유화증권,3460.KS
이지스레지던스리츠,350520.KS
이화산업,760.KS
인천도시가스,34590.KS
인터지스,129260.KS
일성건설,13360.KS
잇츠한불,226320.KS
자화전자,33240.KS
전방,950.KS
종근당홀딩스,1630.KS
주연테크,44380.KS
진원생명과학,11000.KS
코오롱모빌리티그룹,450140.KS
콘텐트리중앙,36420.KS
쿠쿠홀딩스,192400.KS
크래프톤,259960.KS
태림포장,11280.KS
토니모리,214420.KS
티케이지휴켐스,69260.KS
팜스코,36580.KS
풍산,103140.KS
하나금융지주,86790.KS
하이트진로홀딩스,140.KS
한국ANKOR유전,152550.KS
한국공항,5430.KS
한국전력공사,15760.KS
한신공영,4960.KS
한전KPS,51600.KS
한전기술,52690.KS
한창제지,9460.KS
한화손해보험,370.KS
한화솔루션,9830.KS
한화투자증권,3530.KS
현대로템,64350.KS
현대백화점,69960.KS
현대자동차,5380.KS
화신,10690.KS
화천기계,10660.KS
환인제약,16580.KS
BGF리테일,282330.KS
CJ씨푸드,11150.KS
DB,12030.KS
HL홀딩스,60980.KS
HMM,11200.KS
HS애드,35000.KS
HS효성첨단소재,298050.KS
KISCO홀딩스,1940.KS
LG전자,66570.KS
LG화학,51910.KS
LX인터내셔널,1120.KS
NH프라임리츠,338100.KS
OCI홀딩스,10060.KS
SK,34730.KS
SKC,11790.KS
SK네트웍스,1740.KS
SK증권,1510.KS
STX그린로지스,465770.KS
TP,7980.KS
WISCOM,24070.KS
계양전기,12200.KS
국보,1140.KS
금호타이어,73240.KS
기신정기,92440.KS
기아,270.KS
넥센타이어,2350.KS
대호에이엘,69460.KS
동성케미컬,102260.KS
동일산업,4890.KS
드림텍,192650.KS
디아이,3160.KS
롯데하이마트,71840.KS
메타랩스,90370.KS
부광약품,3000.KS
부국증권,1270.KS
부산주공,5030.KS
빙그레,5180.KS
사조씨푸드,14710.KS
삼성FN리츠,448730.KS
삼아알미늄,6110.KS
삼익THK,4380.KS
삼화콘덴서공업,1820.KS
서연,7860.KS
수산인더스트리,126720.KS
스타에스엠리츠,204210.KS
신원,9270.KS
신일전자,2700.KS
신한글로벌액티브리츠,481850.KS
아남전자,8700.KS
아이마켓코리아,122900.KS
아이에스동서,10780.KS
에스엠벡셀,10580.KS
에스원,12750.KS
에스제이엠,123700.KS
에이리츠,140910.KS
에이블씨엔씨,78520.KS
에코프로머티,450080.KS
엑시큐어하이트론,19490.KS
엔에이치엔,181710.KS
엠앤씨솔루션,484870.KS
영진약품,3520.KS
영풍제지,6740.KS
오뚜기,7310.KS
오리온,271560.KS
웅진씽크빅,95720.KS
유니온,910.KS
이노션,214320.KS
이수화학,5950.KS
이엔플러스,74610.KS
제이에스코퍼레이션,194370.KS
제주항공,89590.KS
진도,88790.KS
진양홀딩스,100250.KS
진양화학,51630.KS
케이씨텍,281820.KS
케이씨티시,9070.KS
케이티앤지,33780.KS
콜마홀딩스,24720.KS
태원물산,1420.KS
테이팩스,55490.KS
텔코웨어,78000.KS
포스코DX,22100.KS
포스코인터내셔널,47050.KS
프레스티지바이오파마,950210.KS
플레이그램,9810.KS
한국가스공사,36460.KS
한국수출포장공업,2200.KS
한국토지신탁,34830.KS
한미약품,128940.KS
한샘,9240.KS
한솔로지스틱스,9180.KS
한일시멘트,300720.KS
한전산업,130660.KS
한화에어로스페이스,12450.KS
핸즈코퍼레이션,143210.KS
현대리바트,79430.KS
현대모비스,12330.KS
현대지에프홀딩스,5440.KS
현대홈쇼핑,57050.KS
화천기공,850.KS
휴스틸,5010.KS
흥국화재,540.KS
DB손해보험,5830.KS
DL이앤씨,375500.KS
DN오토모티브,7340.KS
F&F 홀딩스,7700.KS
HD현대에너지솔루션,322000.KS
KB발해인프라,415640.KS
KIB플러그에너지,15590.KS
KTcs,58850.KS
LG생활건강,51900.KS
LG에너지솔루션,373220.KS
LX세미콘,108320.KS
POSCO홀딩스,5490.KS
S-Oil,10950.KS
SGC에너지,5090.KS
SJG세종,33530.KS
SK스퀘어,402340.KS
SK아이이테크놀로지,361610.KS
SK이노베이션,96770.KS
SNT모티브,64960.KS
STX엔진,77970.KS
TYM,2900.KS
경인전자,9140.KS
계룡건설산업,13580.KS
광동제약,9290.KS
교촌에프앤비,339770.KS
국도화학,7690.KS
극동유화,14530.KS
깨끗한나라,4540.KS
넥스틸,92790.KS
농심홀딩스,72710.KS
대구백화점,6370.KS
